year,GEO,Sex,Type of migrant,AgeGroup,value
1973,Canada,Both sexes,Immigrants,25 to 29 years,37715
1973,Canada,Both sexes,Immigrants,30 to 34 years,21212
1973,Canada,Both sexes,Immigrants,35 to 39 years,12507
1973,Canada,Both sexes,Immigrants,40 to 44 years,7832
1973,Canada,Both sexes,Immigrants,45 to 49 years,5916
1973,Canada,Both sexes,Immigrants,50 to 54 years,4438
1973,Canada,Both sexes,Immigrants,55 to 59 years,3801
1973,Canada,Both sexes,Immigrants,60 to 64 years,3654
1973,Canada,Both sexes,Immigrants,65 to 69 years,2445
1973,Canada,Both sexes,Immigrants,70 to 74 years,1550
1973,Canada,Both sexes,Immigrants,75 to 79 years,817
1973,Canada,Both sexes,Immigrants,80 to 84 years,386
1973,Canada,Both sexes,Immigrants,85 to 89 years,134
1974,Canada,Both sexes,Immigrants,0 to 4 years,21574
1974,Canada,Both sexes,Immigrants,5 to 9 years,20105
1974,Canada,Both sexes,Immigrants,10 to 14 years,14756
1974,Canada,Both sexes,Immigrants,15 to 19 years,17645
1974,Canada,Both sexes,Immigrants,20 to 24 years,35860
1974,Canada,Both sexes,Immigrants,25 to 29 years,35307
1974,Canada,Both sexes,Immigrants,30 to 34 years,20732
1974,Canada,Both sexes,Immigrants,35 to 39 years,12669
1974,Canada,Both sexes,Immigrants,40 to 44 years,7188
1974,Canada,Both sexes,Immigrants,45 to 49 years,5008
1974,Canada,Both sexes,Immigrants,50 to 54 years,4127
1974,Canada,Both sexes,Immigrants,55 to 59 years,3535
1974,Canada,Both sexes,Immigrants,60 to 64 years,3885
1974,Canada,Both sexes,Immigrants,65 to 69 years,2704
1974,Canada,Both sexes,Immigrants,70 to 74 years,1474
1974,Canada,Both sexes,Immigrants,75 to 79 years,716
1974,Canada,Both sexes,Immigrants,80 to 84 years,321
1974,Canada,Both sexes,Immigrants,85 to 89 years,89
1975,Canada,Both sexes,Immigrants,0 to 4 years,16950
1975,Canada,Both sexes,Immigrants,5 to 9 years,16362
1975,Canada,Both sexes,Immigrants,10 to 14 years,13371
1975,Canada,Both sexes,Immigrants,15 to 19 years,14821
1975,Canada,Both sexes,Immigrants,20 to 24 years,26770
1975,Canada,Both sexes,Immigrants,25 to 29 years,27219
1975,Canada,Both sexes,Immigrants,30 to 34 years,15924
1975,Canada,Both sexes,Immigrants,35 to 39 years,9621
1975,Canada,Both sexes,Immigrants,40 to 44 years,5683
1975,Canada,Both sexes,Immigrants,45 to 49 years,4171
1975,Canada,Both sexes,Immigrants,50 to 54 years,3824
1975,Canada,Both sexes,Immigrants,55 to 59 years,3538
1975,Canada,Both sexes,Immigrants,60 to 64 years,4678
1975,Canada,Both sexes,Immigrants,65 to 69 years,2901
1975,Canada,Both sexes,Immigrants,70 to 74 years,1659
1975,Canada,Both sexes,Immigrants,75 to 79 years,807
1975,Canada,Both sexes,Immigrants,80 to 84 years,365
1975,Canada,Both sexes,Immigrants,85 to 89 years,103
1976,Canada,Both sexes,Immigrants,0 to 4 years,11566
1976,Canada,Both sexes,Immigrants,5 to 9 years,11831
1976,Canada,Both sexes,Immigrants,10 to 14 years,9881
1976,Canada,Both sexes,Immigrants,15 to 19 years,12344
1976,Canada,Both sexes,Immigrants,20 to 24 years,21209
1976,Canada,Both sexes,Immigrants,25 to 29 years,19759
1976,Canada,Both sexes,Immigrants,30 to 34 years,11416
1976,Canada,Both sexes,Immigrants,35 to 39 years,6903
1976,Canada,Both sexes,Immigrants,40 to 44 years,4254
1976,Canada,Both sexes,Immigrants,45 to 49 years,3312
1976,Canada,Both sexes,Immigrants,50 to 54 years,3358
1976,Canada,Both sexes,Immigrants,55 to 59 years,3486
1976,Canada,Both sexes,Immigrants,60 to 64 years,4663
1976,Canada,Both sexes,Immigrants,65 to 69 years,3044
1976,Canada,Both sexes,Immigrants,70 to 74 years,1663
1976,Canada,Both sexes,Immigrants,75 to 79 years,848
1976,Canada,Both sexes,Immigrants,80 to 84 years,377
1976,Canada,Both sexes,Immigrants,85 to 89 years,113
1977,Canada,Both sexes,Immigrants,0 to 4 years,7829
1977,Canada,Both sexes,Immigrants,5 to 9 years,8269
1977,Canada,Both sexes,Immigrants,10 to 14 years,7291
1977,Canada,Both sexes,Immigrants,15 to 19 years,9956
1977,Canada,Both sexes,Immigrants,20 to 24 years,16783
1977,Canada,Both sexes,Immigrants,25 to 29 years,15118
1977,Canada,Both sexes,Immigrants,30 to 34 years,9046
1977,Canada,Both sexes,Immigrants,35 to 39 years,5172
1977,Canada,Both sexes,Immigrants,40 to 44 years,3040
1977,Canada,Both sexes,Immigrants,45 to 49 years,2471
1977,Canada,Both sexes,Immigrants,50 to 54 years,2608
1977,Canada,Both sexes,Immigrants,55 to 59 years,2962
1977,Canada,Both sexes,Immigrants,60 to 64 years,4209
1977,Canada,Both sexes,Immigrants,65 to 69 years,2751
1977,Canada,Both sexes,Immigrants,70 to 74 years,1517
1977,Canada,Both sexes,Immigrants,75 to 79 years,824
1977,Canada,Both sexes,Immigrants,80 to 84 years,371
1977,Canada,Both sexes,Immigrants,85 to 89 years,119
1977,Canada,Both sexes,Immigrants,45 to 64 years,12250
1978,Canada,Both sexes,Immigrants,0 to 4 years,5873
1978,Canada,Both sexes,Immigrants,5 to 9 years,6237
1978,Canada,Both sexes,Immigrants,10 to 14 years,6216
1978,Canada,Both sexes,Immigrants,15 to 19 years,9718
1978,Canada,Both sexes,Immigrants,20 to 24 years,13638
1978,Canada,Both sexes,Immigrants,25 to 29 years,11553
1978,Canada,Both sexes,Immigrants,30 to 34 years,6785
1978,Canada,Both sexes,Immigrants,35 to 39 years,4018
1978,Canada,Both sexes,Immigrants,40 to 44 years,2514
1978,Canada,Both sexes,Immigrants,45 to 49 years,2545
1978,Canada,Both sexes,Immigrants,50 to 54 years,3149
1978,Canada,Both sexes,Immigrants,55 to 59 years,3544
1978,Canada,Both sexes,Immigrants,60 to 64 years,3335
1978,Canada,Both sexes,Immigrants,65 to 69 years,2146
1978,Canada,Both sexes,Immigrants,70 to 74 years,1255
1978,Canada,Both sexes,Immigrants,75 to 79 years,649
1978,Canada,Both sexes,Immigrants,80 to 84 years,277
1978,Canada,Both sexes,Immigrants,85 to 89 years,101
1979,Canada,Both sexes,Immigrants,0 to 4 years,11711
1979,Canada,Both sexes,Immigrants,5 to 9 years,11996
1979,Canada,Both sexes,Immigrants,10 to 14 years,11592
1979,Canada,Both sexes,Immigrants,15 to 19 years,17517
1979,Canada,Both sexes,Immigrants,20 to 24 years,22367
1979,Canada,Both sexes,Immigrants,25 to 29 years,18625
1979,Canada,Both sexes,Immigrants,30 to 34 years,11831
1979,Canada,Both sexes,Immigrants,35 to 39 years,6902
1979,Canada,Both sexes,Immigrants,40 to 44 years,4667
1979,Canada,Both sexes,Immigrants,45 to 49 years,4512
1979,Canada,Both sexes,Immigrants,50 to 54 years,5267
1979,Canada,Both sexes,Immigrants,55 to 59 years,5494
1979,Canada,Both sexes,Immigrants,60 to 64 years,4242
1979,Canada,Both sexes,Immigrants,65 to 69 years,2936
1979,Canada,Both sexes,Immigrants,70 to 74 years,1605
1979,Canada,Both sexes,Immigrants,75 to 79 years,884
1979,Canada,Both sexes,Immigrants,80 to 84 years,419
1979,Canada,Both sexes,Immigrants,85 to 89 years,140
1980,Canada,Both sexes,Immigrants,0 to 4 years,9430
1980,Canada,Both sexes,Immigrants,5 to 9 years,9603
1980,Canada,Both sexes,Immigrants,10 to 14 years,9846
1980,Canada,Both sexes,Immigrants,15 to 19 years,14035
1980,Canada,Both sexes,Immigrants,20 to 24 years,18613
1980,Canada,Both sexes,Immigrants,25 to 29 years,17096
1980,Canada,Both sexes,Immigrants,30 to 34 years,11557
1980,Canada,Both sexes,Immigrants,35 to 39 years,6628
1980,Canada,Both sexes,Immigrants,40 to 44 years,4440
1980,Canada,Both sexes,Immigrants,45 to 49 years,4142
1980,Canada,Both sexes,Immigrants,50 to 54 years,5193
1980,Canada,Both sexes,Immigrants,55 to 59 years,5400
1980,Canada,Both sexes,Immigrants,60 to 64 years,4375
1980,Canada,Both sexes,Immigrants,65 to 69 years,3094
1980,Canada,Both sexes,Immigrants,70 to 74 years,1787
1980,Canada,Both sexes,Immigrants,75 to 79 years,992
1980,Canada,Both sexes,Immigrants,80 to 84 years,420
1980,Canada,Both sexes,Immigrants,85 to 89 years,140
1981,Canada,Both sexes,Immigrants,0 to 4 years,9770
1981,Canada,Both sexes,Immigrants,5 to 9 years,9621
1981,Canada,Both sexes,Immigrants,10 to 14 years,9539
1981,Canada,Both sexes,Immigrants,15 to 19 years,12656
1981,Canada,Both sexes,Immigrants,20 to 24 years,19150
1981,Canada,Both sexes,Immigrants,25 to 29 years,20420
1981,Canada,Both sexes,Immigrants,30 to 34 years,14230
1981,Canada,Both sexes,Immigrants,35 to 39 years,7961
1981,Canada,Both sexes,Immigrants,40 to 44 years,5035
1981,Canada,Both sexes,Immigrants,45 to 49 years,4211
1981,Canada,Both sexes,Immigrants,50 to 54 years,5063
1981,Canada,Both sexes,Immigrants,55 to 59 years,5429
1981,Canada,Both sexes,Immigrants,60 to 64 years,4752
1981,Canada,Both sexes,Immigrants,65 to 69 years,3391
1981,Canada,Both sexes,Immigrants,70 to 74 years,1985
1981,Canada,Both sexes,Immigrants,75 to 79 years,1098
1981,Canada,Both sexes,Immigrants,80 to 84 years,402
1981,Canada,Both sexes,Immigrants,85 to 89 years,123
1982,Canada,Both sexes,Immigrants,0 to 4 years,6702
1982,Canada,Both sexes,Immigrants,5 to 9 years,6707
1982,Canada,Both sexes,Immigrants,10 to 14 years,7237
1982,Canada,Both sexes,Immigrants,15 to 19 years,9982
1982,Canada,Both sexes,Immigrants,20 to 24 years,14592
1982,Canada,Both sexes,Immigrants,25 to 29 years,14792
1982,Canada,Both sexes,Immigrants,30 to 34 years,10045
1982,Canada,Both sexes,Immigrants,35 to 39 years,5773
1982,Canada,Both sexes,Immigrants,40 to 44 years,3721
1982,Canada,Both sexes,Immigrants,45 to 49 years,3139
1982,Canada,Both sexes,Immigrants,50 to 54 years,3847
1982,Canada,Both sexes,Immigrants,55 to 59 years,4422
1982,Canada,Both sexes,Immigrants,60 to 64 years,4200
1982,Canada,Both sexes,Immigrants,65 to 69 years,2882
1982,Canada,Both sexes,Immigrants,70 to 74 years,1707
1982,Canada,Both sexes,Immigrants,75 to 79 years,951
1982,Canada,Both sexes,Immigrants,80 to 84 years,326
1982,Canada,Both sexes,Immigrants,85 to 89 years,64
1983,Canada,Both sexes,Immigrants,0 to 4 years,4963
1983,Canada,Both sexes,Immigrants,5 to 9 years,5266
1983,Canada,Both sexes,Immigrants,10 to 14 years,5977
1983,Canada,Both sexes,Immigrants,15 to 19 years,9293
1983,Canada,Both sexes,Immigrants,20 to 24 years,13805
1983,Canada,Both sexes,Immigrants,25 to 29 years,12656
1983,Canada,Both sexes,Immigrants,30 to 34 years,8096
1983,Canada,Both sexes,Immigrants,35 to 39 years,4745
1983,Canada,Both sexes,Immigrants,40 to 44 years,3022
1983,Canada,Both sexes,Immigrants,45 to 49 years,2832
1983,Canada,Both sexes,Immigrants,50 to 54 years,3587
1983,Canada,Both sexes,Immigrants,55 to 59 years,4280
1983,Canada,Both sexes,Immigrants,60 to 64 years,4023
1983,Canada,Both sexes,Immigrants,65 to 69 years,2664
1983,Canada,Both sexes,Immigrants,70 to 74 years,1631
1983,Canada,Both sexes,Immigrants,75 to 79 years,906
1983,Canada,Both sexes,Immigrants,80 to 84 years,423
1983,Canada,Both sexes,Immigrants,85 to 89 years,158
1984,Canada,Both sexes,Immigrants,0 to 4 years,4853
1984,Canada,Both sexes,Immigrants,5 to 9 years,5084
1984,Canada,Both sexes,Immigrants,10 to 14 years,5864
1984,Canada,Both sexes,Immigrants,15 to 19 years,8278
1984,Canada,Both sexes,Immigrants,20 to 24 years,12927
1984,Canada,Both sexes,Immigrants,25 to 29 years,12293
1984,Canada,Both sexes,Immigrants,30 to 34 years,8205
1984,Canada,Both sexes,Immigrants,35 to 39 years,5096
1984,Canada,Both sexes,Immigrants,40 to 44 years,3152
1984,Canada,Both sexes,Immigrants,45 to 49 years,2669
1984,Canada,Both sexes,Immigrants,50 to 54 years,3010
1984,Canada,Both sexes,Immigrants,55 to 59 years,3567
1984,Canada,Both sexes,Immigrants,60 to 64 years,3503
1984,Canada,Both sexes,Immigrants,65 to 69 years,2166
1984,Canada,Both sexes,Immigrants,70 to 74 years,1517
1984,Canada,Both sexes,Immigrants,75 to 79 years,811
1984,Canada,Both sexes,Immigrants,80 to 84 years,464
1984,Canada,Both sexes,Immigrants,85 to 89 years,150
1985,Canada,Both sexes,Immigrants,0 to 4 years,5132
1985,Canada,Both sexes,Immigrants,5 to 9 years,5570
1985,Canada,Both sexes,Immigrants,10 to 14 years,6403
1985,Canada,Both sexes,Immigrants,15 to 19 years,8759
1985,Canada,Both sexes,Immigrants,20 to 24 years,13144
1985,Canada,Both sexes,Immigrants,25 to 29 years,13023
1985,Canada,Both sexes,Immigrants,30 to 34 years,8863
1985,Canada,Both sexes,Immigrants,35 to 39 years,5637
1985,Canada,Both sexes,Immigrants,40 to 44 years,3510
1985,Canada,Both sexes,Immigrants,45 to 49 years,2956
1985,Canada,Both sexes,Immigrants,50 to 54 years,3052
1985,Canada,Both sexes,Immigrants,55 to 59 years,3513
1985,Canada,Both sexes,Immigrants,60 to 64 years,3479
1985,Canada,Both sexes,Immigrants,65 to 69 years,2232
1985,Canada,Both sexes,Immigrants,70 to 74 years,1549
1985,Canada,Both sexes,Immigrants,75 to 79 years,866
1985,Canada,Both sexes,Immigrants,80 to 84 years,427
1985,Canada,Both sexes,Immigrants,85 to 89 years,100
1986,Canada,Both sexes,Immigrants,0 to 4 years,7677
1986,Canada,Both sexes,Immigrants,5 to 9 years,8622
1986,Canada,Both sexes,Immigrants,10 to 14 years,8593
1986,Canada,Both sexes,Immigrants,15 to 19 years,11275
1986,Canada,Both sexes,Immigrants,20 to 24 years,19048
1986,Canada,Both sexes,Immigrants,25 to 29 years,22481
1986,Canada,Both sexes,Immigrants,30 to 34 years,16418
1986,Canada,Both sexes,Immigrants,35 to 39 years,10070
1986,Canada,Both sexes,Immigrants,40 to 44 years,5522
1986,Canada,Both sexes,Immigrants,45 to 49 years,3938
1986,Canada,Both sexes,Immigrants,50 to 54 years,3645
1986,Canada,Both sexes,Immigrants,55 to 59 years,3783
1986,Canada,Both sexes,Immigrants,60 to 64 years,3577
1986,Canada,Both sexes,Immigrants,65 to 69 years,2487
1986,Canada,Both sexes,Immigrants,70 to 74 years,1671
1986,Canada,Both sexes,Immigrants,75 to 79 years,961
1986,Canada,Both sexes,Immigrants,80 to 84 years,514
1986,Canada,Both sexes,Immigrants,85 to 89 years,69
1987,Canada,Both sexes,Immigrants,0 to 4 years,10672
1987,Canada,Both sexes,Immigrants,5 to 9 years,12744
1987,Canada,Both sexes,Immigrants,10 to 14 years,12002
1987,Canada,Both sexes,Immigrants,15 to 19 years,13491
1987,Canada,Both sexes,Immigrants,20 to 24 years,17988
1987,Canada,Both sexes,Immigrants,25 to 29 years,21764
1987,Canada,Both sexes,Immigrants,30 to 34 years,18865
1987,Canada,Both sexes,Immigrants,35 to 39 years,12900
1987,Canada,Both sexes,Immigrants,40 to 44 years,7266
1987,Canada,Both sexes,Immigrants,45 to 49 years,4771
1987,Canada,Both sexes,Immigrants,50 to 54 years,4226
1987,Canada,Both sexes,Immigrants,55 to 59 years,4371
1987,Canada,Both sexes,Immigrants,60 to 64 years,4212
1987,Canada,Both sexes,Immigrants,65 to 69 years,2862
1987,Canada,Both sexes,Immigrants,70 to 74 years,1753
1987,Canada,Both sexes,Immigrants,75 to 79 years,1043
1987,Canada,Both sexes,Immigrants,80 to 84 years,530
1987,Canada,Both sexes,Immigrants,85 to 89 years,126
1988,Canada,Both sexes,Immigrants,0 to 4 years,13239
1988,Canada,Both sexes,Immigrants,5 to 9 years,14786
1988,Canada,Both sexes,Immigrants,10 to 14 years,13956
1988,Canada,Both sexes,Immigrants,15 to 19 years,14702
1988,Canada,Both sexes,Immigrants,20 to 24 years,20812
1988,Canada,Both sexes,Immigrants,25 to 29 years,25410
1988,Canada,Both sexes,Immigrants,30 to 34 years,22670
1988,Canada,Both sexes,Immigrants,35 to 39 years,16100
1988,Canada,Both sexes,Immigrants,40 to 44 years,9655
1988,Canada,Both sexes,Immigrants,45 to 49 years,5644
1988,Canada,Both sexes,Immigrants,50 to 54 years,4441
1988,Canada,Both sexes,Immigrants,55 to 59 years,4497
1988,Canada,Both sexes,Immigrants,60 to 64 years,4320
1988,Canada,Both sexes,Immigrants,65 to 69 years,3016
1988,Canada,Both sexes,Immigrants,70 to 74 years,1881
1988,Canada,Both sexes,Immigrants,75 to 79 years,1122
1988,Canada,Both sexes,Immigrants,80 to 84 years,547
1988,Canada,Both sexes,Immigrants,85 to 89 years,153
1989,Canada,Both sexes,Immigrants,0 to 4 years,14797
1989,Canada,Both sexes,Immigrants,5 to 9 years,16996
1989,Canada,Both sexes,Immigrants,10 to 14 years,15367
1989,Canada,Both sexes,Immigrants,15 to 19 years,15665
1989,Canada,Both sexes,Immigrants,20 to 24 years,24376
1989,Canada,Both sexes,Immigrants,25 to 29 years,31231
1989,Canada,Both sexes,Immigrants,30 to 34 years,26266
1989,Canada,Both sexes,Immigrants,35 to 39 years,18306
1989,Canada,Both sexes,Immigrants,40 to 44 years,11392
1989,Canada,Both sexes,Immigrants,45 to 49 years,6391
1989,Canada,Both sexes,Immigrants,50 to 54 years,4903
1989,Canada,Both sexes,Immigrants,55 to 59 years,4900
1989,Canada,Both sexes,Immigrants,60 to 64 years,4789
1989,Canada,Both sexes,Immigrants,65 to 69 years,3517
1989,Canada,Both sexes,Immigrants,70 to 74 years,1883
1989,Canada,Both sexes,Immigrants,75 to 79 years,1176
1989,Canada,Both sexes,Immigrants,80 to 84 years,479
1989,Canada,Both sexes,Immigrants,85 to 89 years,149
1990,Canada,Both sexes,Immigrants,0 to 4 years,14229
1990,Canada,Both sexes,Immigrants,5 to 9 years,16933
1990,Canada,Both sexes,Immigrants,10 to 14 years,15616
1990,Canada,Both sexes,Immigrants,15 to 19 years,15028
1990,Canada,Both sexes,Immigrants,20 to 24 years,24767
1990,Canada,Both sexes,Immigrants,25 to 29 years,36042
1990,Canada,Both sexes,Immigrants,30 to 34 years,29806
1990,Canada,Both sexes,Immigrants,35 to 39 years,20571
1990,Canada,Both sexes,Immigrants,40 to 44 years,13173
1990,Canada,Both sexes,Immigrants,45 to 49 years,7392
1990,Canada,Both sexes,Immigrants,50 to 54 years,6294
1990,Canada,Both sexes,Immigrants,55 to 59 years,6072
1990,Canada,Both sexes,Immigrants,60 to 64 years,5907
1990,Canada,Both sexes,Immigrants,65 to 69 years,4119
1990,Canada,Both sexes,Immigrants,70 to 74 years,2298
1990,Canada,Both sexes,Immigrants,75 to 79 years,1384
1990,Canada,Both sexes,Immigrants,80 to 84 years,582
1990,Canada,Both sexes,Immigrants,85 to 89 years,196
1991,Canada,Both sexes,Immigrants,0 to 4 years,12478
1991,Canada,Both sexes,Immigrants,5 to 9 years,17017
1991,Canada,Both sexes,Immigrants,10 to 14 years,15883
1991,Canada,Both sexes,Immigrants,15 to 19 years,16434
1991,Canada,Both sexes,Immigrants,20 to 24 years,29326
1991,Canada,Both sexes,Immigrants,25 to 29 years,41099
1991,Canada,Both sexes,Immigrants,30 to 34 years,33047
1991,Canada,Both sexes,Immigrants,35 to 39 years,22856
1991,Canada,Both sexes,Immigrants,40 to 44 years,14636
1991,Canada,Both sexes,Immigrants,45 to 49 years,8259
1991,Canada,Both sexes,Immigrants,50 to 54 years,6943
1991,Canada,Both sexes,Immigrants,55 to 59 years,7329
1991,Canada,Both sexes,Immigrants,60 to 64 years,7288
1991,Canada,Both sexes,Immigrants,65 to 69 years,5433
1991,Canada,Both sexes,Immigrants,70 to 74 years,3034
1991,Canada,Both sexes,Immigrants,75 to 79 years,1572
1991,Canada,Both sexes,Immigrants,80 to 84 years,709
1991,Canada,Both sexes,Immigrants,85 to 89 years,255
1992,Canada,Both sexes,Immigrants,0 to 4 years,13985
1992,Canada,Both sexes,Immigrants,5 to 9 years,19732
1992,Canada,Both sexes,Immigrants,10 to 14 years,19720
1992,Canada,Both sexes,Immigrants,15 to 19 years,20063
1992,Canada,Both sexes,Immigrants,20 to 24 years,31259
1992,Canada,Both sexes,Immigrants,25 to 29 years,41807
1992,Canada,Both sexes,Immigrants,30 to 34 years,34189
1992,Canada,Both sexes,Immigrants,35 to 39 years,24977
1992,Canada,Both sexes,Immigrants,40 to 44 years,16860
1992,Canada,Both sexes,Immigrants,45 to 49 years,10299
1992,Canada,Both sexes,Immigrants,50 to 54 years,7810
1992,Canada,Both sexes,Immigrants,55 to 59 years,7967
1992,Canada,Both sexes,Immigrants,60 to 64 years,7071
1992,Canada,Both sexes,Immigrants,65 to 69 years,4957
1992,Canada,Both sexes,Immigrants,70 to 74 years,2845
1992,Canada,Both sexes,Immigrants,75 to 79 years,1564
1992,Canada,Both sexes,Immigrants,80 to 84 years,768
1992,Canada,Both sexes,Immigrants,85 to 89 years,238
1993,Canada,Both sexes,Immigrants,0 to 4 years,12388
1993,Canada,Both sexes,Immigrants,5 to 9 years,17334
1993,Canada,Both sexes,Immigrants,10 to 14 years,19023
1993,Canada,Both sexes,Immigrants,15 to 19 years,19774
1993,Canada,Both sexes,Immigrants,20 to 24 years,26254
1993,Canada,Both sexes,Immigrants,25 to 29 years,32246
1993,Canada,Both sexes,Immigrants,30 to 34 years,27174
1993,Canada,Both sexes,Immigrants,35 to 39 years,20659
1993,Canada,Both sexes,Immigrants,40 to 44 years,15286
1993,Canada,Both sexes,Immigrants,45 to 49 years,10450
1993,Canada,Both sexes,Immigrants,50 to 54 years,8052
1993,Canada,Both sexes,Immigrants,55 to 59 years,8675
1993,Canada,Both sexes,Immigrants,60 to 64 years,7475
1993,Canada,Both sexes,Immigrants,65 to 69 years,4922
1993,Canada,Both sexes,Immigrants,70 to 74 years,2797
1993,Canada,Both sexes,Immigrants,75 to 79 years,1313
1993,Canada,Both sexes,Immigrants,80 to 84 years,663
1993,Canada,Both sexes,Immigrants,85 to 89 years,197
1993,Canada,Both sexes,Immigrants,90 to 94 years,
1993,Canada,Both sexes,Immigrants,95 to 99 years,
1994,Canada,Both sexes,Immigrants,0 to 4 years,13182
1994,Canada,Both sexes,Immigrants,5 to 9 years,17153
1994,Canada,Both sexes,Immigrants,10 to 14 years,17757
1994,Canada,Both sexes,Immigrants,15 to 19 years,17975
1994,Canada,Both sexes,Immigrants,20 to 24 years,20856
1994,Canada,Both sexes,Immigrants,25 to 29 years,28302
1994,Canada,Both sexes,Immigrants,30 to 34 years,27756
1994,Canada,Both sexes,Immigrants,35 to 39 years,21764
1994,Canada,Both sexes,Immigrants,40 to 44 years,15741
1994,Canada,Both sexes,Immigrants,45 to 49 years,9818
1994,Canada,Both sexes,Immigrants,50 to 54 years,6919
1994,Canada,Both sexes,Immigrants,55 to 59 years,7411
1994,Canada,Both sexes,Immigrants,60 to 64 years,6540
1994,Canada,Both sexes,Immigrants,65 to 69 years,4387
1994,Canada,Both sexes,Immigrants,70 to 74 years,2552
1994,Canada,Both sexes,Immigrants,75 to 79 years,1145
1994,Canada,Both sexes,Immigrants,80 to 84 years,517
1994,Canada,Both sexes,Immigrants,85 to 89 years,159
1994,Canada,Both sexes,Immigrants,90 to 94 years,
1994,Canada,Both sexes,Immigrants,95 to 99 years,
1995,Canada,Both sexes,Immigrants,0 to 4 years,14322
1995,Canada,Both sexes,Immigrants,5 to 9 years,17366
1995,Canada,Both sexes,Immigrants,10 to 14 years,17899
1995,Canada,Both sexes,Immigrants,15 to 19 years,16869
1995,Canada,Both sexes,Immigrants,20 to 24 years,19587
1995,Canada,Both sexes,Immigrants,25 to 29 years,28503
1995,Canada,Both sexes,Immigrants,30 to 34 years,29122
1995,Canada,Both sexes,Immigrants,35 to 39 years,23146
1995,Canada,Both sexes,Immigrants,40 to 44 years,16274
1995,Canada,Both sexes,Immigrants,45 to 49 years,10091
1995,Canada,Both sexes,Immigrants,50 to 54 years,6111
1995,Canada,Both sexes,Immigrants,55 to 59 years,5707
1995,Canada,Both sexes,Immigrants,60 to 64 years,4768
1995,Canada,Both sexes,Immigrants,65 to 69 years,3317
1995,Canada,Both sexes,Immigrants,70 to 74 years,1918
1995,Canada,Both sexes,Immigrants,75 to 79 years,935
1995,Canada,Both sexes,Immigrants,80 to 84 years,416
1995,Canada,Both sexes,Immigrants,85 to 89 years,162
1995,Canada,Both sexes,Immigrants,90 to 94 years,
1995,Canada,Both sexes,Immigrants,95 to 99 years,
1996,Canada,Both sexes,Immigrants,0 to 4 years,16425
1996,Canada,Both sexes,Immigrants,5 to 9 years,18903
1996,Canada,Both sexes,Immigrants,10 to 14 years,18817
1996,Canada,Both sexes,Immigrants,15 to 19 years,16087
1996,Canada,Both sexes,Immigrants,20 to 24 years,18329
1996,Canada,Both sexes,Immigrants,25 to 29 years,30057
1996,Canada,Both sexes,Immigrants,30 to 34 years,30988
1996,Canada,Both sexes,Immigrants,35 to 39 years,25286
1996,Canada,Both sexes,Immigrants,40 to 44 years,18455
1996,Canada,Both sexes,Immigrants,45 to 49 years,10445
